iso,year,log_gdppc,bottom40_share
HUN,1999,9.056978804837003,21.700000000000003
HUN,2000,9.102725738372246,23.4
HUN,2001,9.144836471082037,23.4
HUN,2002,9.19390003223576,23.4
HUN,2003,9.235396227928526,21.1
HUN,2004,9.286049537171168,21.8
HUN,2005,9.330142216715485,19.6
HUN,2006,9.370284620027851,22.5
HUN,2007,9.375151804223755,22.5
HUN,2008,9.386788127288737,22.700000000000003
HUN,2009,9.318556539942156,23.0
HUN,2010,9.331439562362826,21.6
HUN,2011,9.353258883634082,21.9
HUN,2012,9.344937894871526,20.9
HUN,2013,9.369868460150887,20.6
HUN,2014,9.416327831067596,20.799999999999997
HUN,2015,9.455866846819694,21.1
HUN,2016,9.48384663995505,21.2
HUN,2017,9.527647575569224,21.1
IDN,1984,7.083044321947273,20.700000000000003
IDN,1987,7.15158915755573,22.0
IDN,1990,7.293642125980137,21.7
IDN,1993,7.434320833173176,21.6
IDN,1996,7.611343502315614,20.4
IDN,1998,7.484481274835612,21.9
IDN,1999,7.477329696065892,22.2
IDN,2000,7.511033910001544,22.2
IDN,2001,7.532940336868642,21.9
IDN,2002,7.56339494454081,22.5
IDN,2003,7.596853375586996,22.6
IDN,2004,7.633227420160034,21.9
IDN,2005,7.6757537775135924,22.299999999999997
IDN,2006,7.716051015834325,21.4
IDN,2007,7.7643609115767465,20.6
IDN,2008,7.809785586289368,20.8
IDN,2009,7.842365066469774,20.6
IDN,2010,7.890138165690505,19.7
IDN,2011,7.937240647144549,18.4
IDN,2012,7.982934630154651,18.8
IDN,2013,8.024614233453086,18.0
IDN,2014,8.061714295302249,18.0
IDN,2015,8.09810248419129,18.4
IDN,2016,8.136462661371946,18.5
IDN,2017,8.175693938429035,18.6
IDN,2018,8.21644521178391,18.700000000000003
IDN,2019,8.25606300168653,19.1
IDN,2020,8.226693570902942,19.1
IDN,2021,8.256007313238973,19.2
IDN,2022,8.300258389089292,19.5
IDN,2023,8.341086842622474,19.5
IDN,2024,8.382048479458371,19.9
IDN,2025,8.424020448251365,20.200000000000003
IND,1977,5.980007431343878,22.4
IND,1983,6.069418695377619,23.4
IND,1987,6.15105033628222,23.4
IND,1993,6.3339417043660005,24.299999999999997
IND,2004,6.794134759426066,23.6
