iso,year,log_gdppc,gini
BGR,2014,8.845254901111836,37.4
BGR,2015,8.891377567758276,38.6
BGR,2016,8.934177266972299,40.6
BGR,2017,8.974505445521666,40.4
BGR,2018,9.011254227063816,41.3
BGR,2019,9.062602837004778,40.3
BGR,2020,9.040798506308539,40.5
BGR,2021,9.122813816951695,39.0
BGR,2022,9.169347350927119,38.2
BGR,2023,9.188888426097868,39.5
BIH,2001,7.86985356136036,30.0
BIH,2004,8.027422820047768,34.0
BIH,2007,8.20660807931343,34.3
BIH,2011,8.317339634219136,33.3
BIH,2015,8.44725530758742,32.9
BIH,2021,8.698771468030062,30.3
BLR,1993,7.771693279296515,21.6
BLR,1995,7.541874395431091,28.7
BLR,1998,7.770131730485332,32.0
BLR,1999,7.808066797308288,31.7
BLR,2000,7.869158475044112,31.2
BLR,2001,7.920458745194723,30.6
BLR,2002,7.976045592962271,30.3
BLR,2003,8.051105919798575,28.8
BLR,2004,8.166331184268982,26.5
BLR,2005,8.263001957724901,27.6
BLR,2006,8.364435051602532,28.3
BLR,2007,8.451524809226617,29.6
BLR,2008,8.55210566583693,27.8
BLR,2009,8.55656277532507,27.7
BLR,2010,8.633391704349176,28.6
BLR,2011,8.68974888225533,27.2
BLR,2012,8.708249385064127,26.5
BLR,2013,8.718570835638193,26.6
BLR,2014,8.734385738447378,27.2
BLR,2015,8.694008944147766,25.6
BLR,2016,8.667542642890593,25.3
BLR,2017,8.69364701474173,25.4
BLR,2018,8.72679153118074,25.2
BLR,2019,8.743170338293512,25.3
BLR,2020,8.740654930453196,24.4
BLZ,1993,8.55001436998666,60.2
BLZ,1994,8.528519211602156,60.9
BLZ,1995,8.510764881671205,57.5
BLZ,1996,8.492010092354315,56.6
BLZ,1997,8.500116275494989,60.4
BLZ,1998,8.503389353522055,54.9
BLZ,1999,8.559019407806085,53.2
BLZ,2018,8.649555756147757,39.9
BOL,1990,7.426196914826516,42.0
BOL,1992,7.452613186123686,49.1
BOL,1997,7.582159932079648,58.1
BOL,1999,7.600374990329908,58.0
BOL,2000,7.60797253075436,61.6
BOL,2001,7.607801511730905,57.4
BOL,2002,7.615628466234788,59.3
BOL,2004,7.649688247863464,55.0
BOL,2005,7.676096525466966,58.5
BOL,2006,7.705905162842936,56.7
BOL,2007,7.733432810508475,54.5
BOL,2008,7.776220517941462,50.8
BOL,2009,7.792586630706832,49.2
BOL,2011,7.851085337706473,46.1
BOL,2012,7.885042836256124,46.6
BOL,2013,7.935055785008936,47.6
BOL,2014,7.972777145401465,47.8
BOL,2015,8.005037649739139,46.7
BOL,2016,8.031895790639762,45.2
BOL,2017,8.058379271204153,44.6
BOL,2018,8.072322806138477,42.6
BOL,2019,8.07321185107095,41.6
BOL,2020,7.9248294460835655,43.6
BOL,2021,8.010210543368496,40.9
BOL,2022,8.035357036892758,41.2
BOL,2023,8.046475865841769,42.1
BOL,2024,8.021458053429036,40.9
BRA,1981,8.70865581015581,57.9
BRA,1982,8.694130109674006,58.4
BRA,1983,8.642055763028928,58.9
BRA,1984,8.672785665297273,58.3
BRA,1985,8.727051027012639,55.5
BRA,1986,8.778677203828712,58.4
BRA,1987,8.793552729523155,59.6
BRA,1988,8.77384972889329,61.4
BRA,1989,8.786521726759775,63.2
BRA,1990,8.724185879149315,60.5
BRA,1992,8.695169129040746,53.1
BRA,1993,8.727042512232536,60.1
BRA,1995,8.79426958092092,59.5
BRA,1996,8.800976725416385,59.8
BRA,1997,8.819496612213413,59.8
BRA,1998,8.807994678755772,59.6
BRA,1999,8.798097863460962,59.0
BRA,2001,8.828059515551221,58.4
BRA,2002,8.845723024050223,58.1
BRA,2003,8.845264590674011,57.6
BRA,2004,8.889967304713018,56.5
BRA,2005,8.910527569815086,56.3
