iso,year,log_gdppc,life_exp
PRE,1984,6.966574425296962,47.7169963272612
PRE,1985,6.9737692615125875,47.9276244645107
PRE,1986,6.971155698245489,48.5220940173399
PRE,1987,6.981877596064286,48.5296106393045
PRE,1988,6.99329247338427,48.4894728099322
PRE,1989,6.980033811558442,48.9397193525752
PRE,1990,7.031909907209519,48.9307310197861
PRE,1991,6.922568324784236,48.8470953126042
PRE,1992,6.916093207791017,49.0227917779228
PRE,1993,6.878288320687647,49.5774347403617
PRE,1994,6.8457878140786095,50.0145764665431
PRE,1995,6.845243494956675,50.1295103227986
PRE,1996,6.873437050002064,50.1537039884381
PRE,1997,6.907964593134861,50.4023801410372
PRE,1998,6.946912548910411,50.3270896350795
PRE,1999,6.9595373706148935,51.0367885399355
PRE,2000,6.984833070611319,51.7498417942543
PRE,2001,6.999142086025567,52.2506407628639
PRE,2002,7.027628674906659,52.7410145652031
PRE,2003,6.991923119843373,53.2927125516406
PRE,2004,7.076171831261757,53.7989567605991
PRE,2005,7.104754786507712,54.3650816168261
PRE,2006,7.136444385731591,54.9712541124866
PRE,2007,7.168117046535723,55.550345439484
PRE,2008,7.201276529634396,56.1355264401913
PRE,2009,7.218660770233372,56.509207413095
PRE,2010,7.253868731707231,57.1220509386403
PRE,2011,7.265072017536625,57.3117928365729
PRE,2012,7.277640969368713,58.015496924455
PRE,2013,7.307199473554344,58.4505165351906
PRE,2014,7.328567336716039,58.608641358086
PRE,2015,7.330432074078413,58.9361548123525
PRE,2016,7.327138361960991,59.2361026971089
PRE,2017,7.315704924260761,59.5398409028105
PRE,2018,7.314401857286471,60.207194494983
PRE,2019,7.318453242016145,60.5564155644205
PRE,2020,7.249324134987662,60.5007902438254
PRE,2021,7.245979166668942,60.2743516231876
PRE,2022,7.266061452717961,61.3824217457713
PRE,2023,7.26486225631437,62.1630603690952
PRE,2024,7.272215821121734,62.3537442260657
PRI,1960,8.74947998246647,68.627
PRI,1961,8.79998953884716,68.528
PRI,1962,8.859073195358347,68.863
PRI,1963,8.920162704862866,68.727
PRI,1964,8.968805064963245,68.242
PRI,1965,9.041345799417702,69.289
PRI,1966,9.101780633685337,70.223
PRI,1967,9.154306346258672,70.699
PRI,1968,9.198637551874905,70.566
PRI,1969,9.279989507812143,70.511
PRI,1970,9.348095992045042,70.352
PRI,1971,9.393679071171109,71.084
PRI,1972,9.443219083118542,70.813
PRI,1973,9.483131127800831,70.949
PRI,1974,9.49108501753008,71.324
PRI,1975,9.466078658356928,71.963
PRI,1976,9.510124032525788,72.08
PRI,1977,9.553304993305387,72.401
PRI,1978,9.60722647222936,72.528
PRI,1979,9.671044158693569,72.718
PRI,1980,9.700707345648443,73.101
PRI,1981,9.700784808814326,72.981
PRI,1982,9.674390025370132,72.949
PRI,1983,9.64046633775767,73.375
PRI,1984,9.688129676025728,73.427
PRI,1985,9.708870846529214,72.633
PRI,1986,9.747851689820335,73.272
PRI,1987,9.794511337712438,73.402
PRI,1988,9.842458414664316,73.153
PRI,1989,9.875796002393612,72.479
PRI,1990,9.838076397625258,72.827
PRI,1991,9.853784652589937,73.877
PRI,1992,9.891959785887673,73.387
PRI,1993,9.928936987249633,73.309
PRI,1994,9.960655391261339,73.622
PRI,1995,9.995903453019357,73.571
PRI,1996,10.00755829776734,73.995
PRI,1997,10.045912662669961,74.674
PRI,1998,10.093996738559802,74.556
PRI,1999,10.141484314773736,75.278
PRI,2000,10.170914482533895,75.514
PRI,2001,10.229994846024113,75.972
PRI,2002,10.23782832713284,76.819
PRI,2003,10.23773648345303,76.941
PRI,2004,10.321401174570806,76.913
PRI,2005,10.302774160368058,76.703
PRI,2006,10.292814426235283,77.561
PRI,2007,10.286974432585598,77.659
PRI,2008,10.274227702890986,78.111
PRI,2009,10.259964354030158,78.377
PRI,2010,10.260095264022814,78.717
PRI,2011,10.264862162028216,78.766
PRI,2012,10.273971015986247,79.258
PRI,2013,10.279020974346315,80.318
PRI,2014,10.27990839200433,80.039
PRI,2015,10.28336272897395,80.677
PRI,2016,10.286249376297468,80.355
PRI,2017,10.277171493166762,79.07
PRI,2018,10.268437975281772,81.086
PRI,2019,10.28141348113659,81.438
PRI,2020,10.245114827012365,80.009
PRI,2021,10.254723444408462,79.77
