iso,year,cons_prod_ratio,openness
IND,2002,0.9071692084241104,29.5086629350614
IND,2003,0.9223266984775338,30.592436132908
IND,2004,0.9195362992250207,37.503814059447
IND,2005,0.9239798124968106,42.0016696148691
IND,2006,0.9066542644865428,45.7244804992652
IND,2007,0.9265201993562903,45.686268679348
IND,2008,0.9211126662846576,53.3682204392226
IND,2009,0.9431962998224788,46.2728696428837
IND,2010,0.9360017396174033,49.2552064974161
IND,2011,0.9198632832963791,55.6238800135298
IND,2012,0.924800180177749,55.7937217287511
IND,2013,0.8208412914710648,53.8441319466777
IND,2014,0.8430396470848937,48.9221857470669
IND,2015,0.878679569158224,41.9229138658647
IND,2016,0.8510248497368801,40.082485713276
IND,2017,0.8707489976180288,40.7424969545225
IND,2018,0.8627619086885271,43.6169693323889
IND,2019,0.8683037329937672,39.9054035306442
IND,2020,0.8606531799637764,37.7581053292768
IND,2021,0.841635217869345,45.4230887840446
IRL,1990,1.1432083775990285,105.02942597332
IRL,1991,1.135412026726058,106.440213904397
IRL,1992,1.136046095056126,109.545448391468
IRL,1993,1.1068896995580864,116.602680107501
IRL,1994,1.1008065673526795,126.488901394528
IRL,1995,1.0899785234150559,136.103124359691
IRL,1996,1.0813739357869172,138.868118491507
IRL,1997,1.1382553794614096,142.269442155283
IRL,1998,1.2008941731355018,157.772368187148
IRL,1999,1.3935673892554195,159.870974760171
IRL,2000,1.1951160220994475,174.954518071287
IRL,2001,1.1773231389682406,174.840711101871
IRL,2002,1.227577526529372,163.719329359615
IRL,2003,1.4185053848174416,146.531474021275
IRL,2004,1.3885675915697357,146.587496370071
IRL,2005,1.4444167549270035,148.175564253129
IRL,2006,1.4842111897808685,150.021785809265
IRL,2007,1.4775063997649924,153.396847068025
IRL,2008,1.3511961318384325,160.039420132474
IRL,2009,1.1844370154349528,173.591474874665
IRL,2010,1.1323251417769375,190.08027278672
IRL,2011,1.1884164608188363,186.304879179038
IRL,2012,1.1840989953955632,190.355682317985
IRL,2013,1.1805305936318033,199.742586224446
IRL,2014,1.2135956580732699,211.181602002085
IRL,2015,1.1313444401394805,223.702938290642
IRL,2016,1.1118184745720727,239.708527798768
IRL,2017,1.1694928278688523,233.304083346711
IRL,2018,1.1901752222393505,222.453716000399
IRL,2019,1.2426881720430107,257.652772910421
IRL,2020,1.135166747496648,258.780437026252
IRL,2021,1.1208037572717084,231.032350863586
IRN,1990,0.962098780054483,37.0805676988111
IRN,1991,0.9591736085580295,44.1941716478042
IRN,1992,0.961664198006959,40.3979272522381
IRN,1993,0.8982121834822125,46.0408643243691
IRN,1994,0.8807387603748933,41.6091363981328
IRN,1995,0.915248730964467,35.1442449159574
IRN,1996,0.9565215819535826,35.2212991546042
IRN,1997,0.9267147732885692,32.6495581116416
IRN,1998,0.9478311226860183,29.2282196463134
IRN,1999,0.8146304466260028,34.8854141345934
IRN,2000,0.7865707368747837,41.2572474638031
IRN,2001,0.8018039967992778,40.535566479523
IRN,2002,0.7589508124050767,48.1726865520657
IRN,2003,0.8770412222879209,50.6791057753261
IRN,2004,0.8708243708141925,51.3138573265888
IRN,2005,0.8486423376428625,54.4404952635536
IRN,2006,0.8472820175044659,53.1673587143845
IRN,2007,0.9524352513239236,49.8873069225934
IRN,2008,0.9622460872460872,48.2294027741438
IRN,2009,0.9484050599367694,43.6995802243585
IRN,2010,0.8486364996366849,43.7706437371399
IRN,2011,0.8378703809732011,41.2194147918578
IRN,2012,0.9276712977950133,44.0893466807452
IRN,2013,0.7966612950555495,47.0867179194755
IRN,2014,0.8174792154330456,45.3514201413161
IRN,2015,0.9149493970798759,39.42258866118
IRN,2016,0.82448346466464,39.8772417738866
IRN,2017,0.8153680247326635,43.1556931383906
IRN,2018,0.7918762781724635,56.6153496142829
IRN,2019,0.8452250817785442,48.5917712137038
IRN,2020,0.8744159035187957,43.8844674905013
IRN,2021,0.8500420127641833,42.672379536261
ISR,1990,1.52216391246092,60.9350260005907
ISR,1991,1.5132787429456676,55.7524866650315
ISR,1992,1.4971959507627965,54.9411572675679
ISR,1993,1.4173166044987002,60.0511293114913
ISR,1994,1.3858030542390731,59.8246785796587
ISR,1995,1.4047848233265152,59.4260802630063
ISR,1996,1.34232516943931,58.1637958325213
ISR,1997,1.3134910509240696,57.6014513298969
ISR,1998,1.3281735404392074,56.9416656287884
ISR,1999,1.2352984147855943,64.7865126543191
ISR,2000,1.2097313462927803,68.3981650564852
ISR,2001,1.140406829144453,62.1915859412765
ISR,2002,1.179276620858275,65.5319511383591
ISR,2003,1.234991588560442,66.9479946684859
ISR,2004,1.2747490584365786,75.0388690350775
ISR,2005,1.2854160769883953,78.416693799205
ISR,2006,1.2997956523837875,78.5311825907368
ISR,2007,1.309267515923567,78.9364099576763
ISR,2008,1.3286113562812591,75.4761705381509
ISR,2009,1.230375346455583,61.7597291545045
ISR,2010,1.2583068519630383,65.717030394986
ISR,2011,1.2954880093301262,69.0009721692523
ISR,2012,1.2644655728059266,70.0759039186632
ISR,2013,1.3401537364291942,64.2271703557815
ISR,2014,1.4341810580799281,61.8390527979395
ISR,2015,1.3511027075123936,59.0201557126784
ISR,2016,1.435795566019227,57.9533051643572
ISR,2017,1.4356743530051488,56.4519373834561
ISR,2018,1.5100356749908312,58.8734013354625
ISR,2019,1.499966072943172,56.5281618447823
ISR,2020,1.4257906721767735,51.1403984551453
ISR,2021,1.5342493638676844,54.8184036562688
ITA,1990,1.2761861946838031,36.2382276733087
ITA,1991,1.2761740934157562,33.8005339555877
ITA,1992,1.411641400475411,34.8334276236699
ITA,1993,1.297837626781448,37.6724019624473
ITA,1994,1.2734560325271433,40.3620026081266
ITA,1995,1.2476125511596179,45.5795026636995
ITA,1996,1.1999083196527889,42.8020490474117
ITA,1997,1.1809412556763588,44.4771651978702
ITA,1998,1.1955952814957553,44.997874273345
ITA,1999,1.2017645239179564,44.5298402267013
ITA,2000,1.2285699683559128,50.2747311455639
ITA,2001,1.1981438386642793,49.8632723203495
ITA,2002,1.2167977264343917,47.8713186791542
ITA,2003,1.1949205605400186,45.9940859777074
ITA,2004,1.2116771555882218,47.2663923891771
ITA,2005,1.2077867421938109,49.1221742288618
ITA,2006,1.2575477498362142,52.9235429597012
ITA,2007,1.255231791324516,54.8280415572531
ITA,2008,1.2569876101160349,54.2142548956671
ITA,2009,1.363482001358388,45.1414765721604
ITA,2010,1.4333145118345911,51.6621118138339
ITA,2011,1.3478274203403187,54.4722149449288
ITA,2012,1.3287544244058653,54.8844952702204
ITA,2013,1.322694411588774,54.0341846317499
ITA,2014,1.3424893170649332,54.4545299332032
ITA,2015,1.2755118424112233,55.4356858148221
ITA,2016,1.2954321439241847,54.4321467018313
ITA,2017,1.303604543675886,57.5829940274911
ITA,2018,1.337380532190415,59.2749835128154
ITA,2019,1.3264416820261573,58.6941902594738
ITA,2020,1.3292696629213483,53.9394839042764
ITA,2021,1.3449498407406306,60.3019776202798
JOR,1990,1.7165250236071767,149.4476838941
JOR,1991,1.5547993193874488,137.261663286004
JOR,1992,1.4912626138321436,131.644698648349
JOR,1993,1.4658560959360427,130.485233240655
JOR,1994,1.4285186006952149,118.336176072338
JOR,1995,1.4839788863281538,124.582688188008
JOR,1996,1.111624271706693,131.059123299943
JOR,1997,1.3452613922281242,120.737112880307
JOR,1998,1.2432338893888004,109.052402937716
JOR,1999,1.0535701942351559,104.470373639306
JOR,2000,1.131030452568015,110.328904595996
JOR,2001,1.2419598940597805,109.285478573786
JOR,2002,1.284311965044592,114.03885781572
JOR,2003,1.2634747872402017,115.706835253918
JOR,2004,1.226490554123033,134.621611934395
JOR,2005,1.226984126984127,146.908891279018
JOR,2006,1.2272312641029335,141.747381831126
JOR,2007,1.2434562211981568,145.994246288526
JPN,1990,1.179761406863038,18.9369349833675
JPN,1991,1.1857122528614241,17.3931812597285
JPN,1992,1.2761375604659986,16.6670890619573
JPN,1993,1.2476584841892095,15.399061805981
JPN,1994,1.2482859941234086,15.4842353027775
JPN,1995,1.2622275913463599,16.1166693561401
JPN,1996,1.2387878496664504,17.8974380473791
JPN,1997,1.2222429048010444,19.4062642232127
JPN,1998,1.186942182607002,18.7651112452697
JPN,1999,1.211336371808571,17.9207503513808
JPN,2000,1.2560198634664415,19.2751936529389
JPN,2001,1.2381279922307344,19.2772303804527
JPN,2002,1.200695457182732,20.1432481553025
JPN,2003,1.17127067519833,21.0750119103347
JPN,2004,1.177913443752824,23.4324185456932
JPN,2005,1.1756412409088224,25.9909279228382
JPN,2006,1.1750197872475148,29.714872929485
JPN,2007,1.1443539285620807,32.4957200262739
JPN,2008,1.1935651634631115,33.7738026089171
JPN,2009,1.1851406546675598,24.1730393019729
JPN,2010,1.1738392687578958,28.2400150860666
JPN,2011,1.1900036553040363,29.9713853558472
JPN,2012,1.183610792611701,30.174299547803
JPN,2013,1.1335514941960978,33.5913694460807
