iso,year,log_gdppc,sec_enroll
SWE,2019,10.878507651590331,136.641006469727
SWE,2020,10.85175321747415,136.426132202148
SWE,2021,10.89668624463542,138.688186645508
SWE,2022,10.902356625417916,139.406524658203
SWE,2023,10.89558674884876,134.244293212891
SWE,2024,10.90257894419773,131.96354675293
SWZ,1970,6.807667823982967,16.3403606414795
SWZ,1971,6.909683261093399,18.1114406585693
SWZ,1972,6.935071603121614,21.1121597290039
SWZ,1973,6.993371272174813,24.1005897521973
SWZ,1974,7.020512405893514,27.0851402282715
SWZ,1975,7.121384517201775,29.8568706512451
SWZ,1976,7.0695876131900794,30.8489093780518
SWZ,1977,7.047631782608462,33.2195892333984
SWZ,1978,7.027871227988981,34.0879592895508
SWZ,1979,7.025438624919034,35.3889694213867
SWZ,1980,7.109635162192065,36.1546096801758
SWZ,1985,7.198327889298661,39.7173385620117
SWZ,1992,7.585768935836915,47.7011184692383
SWZ,1993,7.587210859038405,44.7079582214355
SWZ,1994,7.611043276293501,45.2933082580566
SWZ,1995,7.658974006740134,46.7922706604004
SWZ,1996,7.676872891846479,46.7752113342285
SWZ,1998,7.703463094688395,45.3353004455566
SWZ,1999,7.7216894808650665,44.860279083252
SWZ,2000,7.728876429716158,43.3038711547852
SWZ,2001,7.733676201288856,43.7772598266602
SWZ,2002,7.765810509302615,44.738208770752
SWZ,2003,7.803368872965383,44.4690589904785
SWZ,2004,7.832864382858646,48.3460006713867
SWZ,2005,7.885612045435465,50.5027885437012
SWZ,2006,7.94572802481871,54.4987907409668
SWZ,2007,7.9822348548486985,58.3698616027832
SWZ,2009,7.997607499758,59.5709686279297
SWZ,2010,8.029277049051858,64.5977020263672
SWZ,2011,8.04196063594246,67.2353363037109
SWZ,2012,8.076671120902219,69.2019271850586
SWZ,2013,8.11136396881017,70.8080825805664
SWZ,2014,8.126161297753303,73.7052383422852
SWZ,2015,8.13734400578844,76.2872772216797
SWZ,2016,8.160568785765973,82.023935767308
SYC,1970,8.277439314126125,30.1778202056885
SYC,1971,8.40435747740218,31.4237804412842
SYC,1972,8.441433613134883,32.774528503418
SYC,1973,8.512822988183695,33.9092597961426
SYC,1974,8.507565864378211,37.8633003234863
SYC,1975,8.515727388210678,35.9638290405273
SYC,1976,8.646302959405874,29.8267993927002
SYC,1978,8.747433707989524,39.8036499023438
SYC,1979,8.885491894571707,44.1914405822754
SYC,1980,8.824007392081615,49.6510696411133
SYC,1981,8.772307300518124,57.5889015197754
SYC,1982,8.745493413601551,67.7786483764648
